Year,Sexo,Distrito,Units,Value
2022-2023,Hombres,Sant Martí,Porcentaje,88.7
2022-2023,Hombres,Diferencial,Porcentaje,15.8
2022-2023,Mujeres,Barcelona,Porcentaje,92.8
2022-2023,Mujeres,Ciutat Vella,Porcentaje,84.3
2022-2023,Mujeres,Eixample,Porcentaje,96.0
2022-2023,Mujeres,Sants-Montjuïc,Porcentaje,88.6
2022-2023,Mujeres,Les Corts,Porcentaje,95.0
2022-2023,Mujeres,Sarrià-Sant Gervasi,Porcentaje,94.2
2022-2023,Mujeres,Gràcia,Porcentaje,97.9
2022-2023,Mujeres,Horta-Guinardó,Porcentaje,93.2
2022-2023,Mujeres,Nou Barris,Porcentaje,83.3
2022-2023,Mujeres,Sant Andreu,Porcentaje,95.3
2022-2023,Mujeres,Sant Martí,Porcentaje,94.1
2022-2023,Mujeres,Diferencial,Porcentaje,14.6
2023-2024,,Barcelona,Porcentaje,88.5
2023-2024,,Ciutat Vella,Porcentaje,84.3
2023-2024,,Eixample,Porcentaje,90.0
2023-2024,,Sants-Montjuïc,Porcentaje,84.3
2023-2024,,Les Corts,Porcentaje,95.9
2023-2024,,Sarrià-Sant Gervasi,Porcentaje,93.6
2023-2024,,Gràcia,Porcentaje,94.0
2023-2024,,Horta-Guinardó,Porcentaje,85.5
2023-2024,,Nou Barris,Porcentaje,79.6
2023-2024,,Sant Andreu,Porcentaje,88.5
2023-2024,,Sant Martí,Porcentaje,86.5
2023-2024,,Diferencial,Porcentaje,16.3
2024-2025,,Barcelona,Porcentaje,91.7
2024-2025,,Ciutat Vella,Porcentaje,91.5
2024-2025,,Eixample,Porcentaje,91.4
2024-2025,,Sants-Montjuïc,Porcentaje,98.1
2024-2025,,Les Corts,Porcentaje,98.1
2024-2025,,Sarrià-Sant Gervasi,Porcentaje,97.2
2024-2025,,Gràcia,Porcentaje,95.8
2024-2025,,Horta-Guinardó,Porcentaje,87.9
2024-2025,,Nou Barris,Porcentaje,79.8
2024-2025,,Sant Andreu,Porcentaje,91.7
2024-2025,,Sant Martí,Porcentaje,90.7
2024-2025,,Diferencial,Porcentaje,18.3
2024-2025,Hombres,Barcelona,Porcentaje,91.2
2024-2025,Hombres,Ciutat Vella,Porcentaje,91.5
2024-2025,Hombres,Eixample,Porcentaje,90.7
2024-2025,Hombres,Sants-Montjuïc,Porcentaje,92.8
2024-2025,Hombres,Les Corts,Porcentaje,98.1
2024-2025,Hombres,Sarrià-Sant Gervasi,Porcentaje,97.5
2024-2025,Hombres,Gràcia,Porcentaje,94.5
2024-2025,Hombres,Horta-Guinardó,Porcentaje,87.0
2024-2025,Hombres,Nou Barris,Porcentaje,78.3
2024-2025,Hombres,Sant Andreu,Porcentaje,91.9
2024-2025,Hombres,Sant Martí,Porcentaje,89.7
2024-2025,Hombres,Diferencial,Porcentaje,19.7
2024-2025,Mujeres,Barcelona,Porcentaje,92.2
2024-2025,Mujeres,Ciutat Vella,Porcentaje,91.6
2024-2025,Mujeres,Eixample,Porcentaje,92.3
2024-2025,Mujeres,Sants-Montjuïc,Porcentaje,92.5
2024-2025,Mujeres,Les Corts,Porcentaje,98.2
2024-2025,Mujeres,Sarrià-Sant Gervasi,Porcentaje,96.9
2024-2025,Mujeres,Gràcia,Porcentaje,97.2
2024-2025,Mujeres,Horta-Guinardó,Porcentaje,88.8
2024-2025,Mujeres,Nou Barris,Porcentaje,81.3
2024-2025,Mujeres,Sant Andreu,Porcentaje,91.5
2024-2025,Mujeres,Sant Martí,Porcentaje,91.6
2024-2025,Mujeres,Diferencial,Porcentaje,16.9
